"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: counterType"
"org.nsu.syspro.parprog.counters.benches.CountersBenchmark.get1","thrpt",1,7,630340.276635,1961.912668,"ops/ms",Unsafe
"org.nsu.syspro.parprog.counters.benches.CountersBenchmark.get1","thrpt",1,7,57190.582140,69.438854,"ops/ms",Unfair
"org.nsu.syspro.parprog.counters.benches.CountersBenchmark.get1","thrpt",1,7,62741.524430,179.920576,"ops/ms",Fair
"org.nsu.syspro.parprog.counters.benches.CountersBenchmark.get1","thrpt",1,7,58797.160115,151.809369,"ops/ms",Split_1
"org.nsu.syspro.parprog.counters.benches.CountersBenchmark.get1","thrpt",1,7,30872.752634,144.778700,"ops/ms",Split_2
"org.nsu.syspro.parprog.counters.benches.CountersBenchmark.get1","thrpt",1,7,15745.663137,54.753046,"ops/ms",Split_4
"org.nsu.syspro.parprog.counters.benches.CountersBenchmark.get1","thrpt",1,7,6404.487441,2.052877,"ops/ms",Split_10
"org.nsu.syspro.parprog.counters.benches.CountersBenchmark.get1","thrpt",1,7,3238.703833,0.526616,"ops/ms",Split_20
"org.nsu.syspro.parprog.counters.benches.CountersBenchmark.get1","thrpt",1,7,6.450810,0.006698,"ops/ms",Split_10000
"org.nsu.syspro.parprog.counters.benches.CountersBenchmark.get2","thrpt",2,7,1259184.154052,3589.737414,"ops/ms",Unsafe
"org.nsu.syspro.parprog.counters.benches.CountersBenchmark.get2","thrpt",2,7,11938.758160,8533.677183,"ops/ms",Unfair
"org.nsu.syspro.parprog.counters.benches.CountersBenchmark.get2","thrpt",2,7,624.218892,268.410404,"ops/ms",Fair
"org.nsu.syspro.parprog.counters.benches.CountersBenchmark.get2","thrpt",2,7,7998.774706,2418.328864,"ops/ms",Split_1
"org.nsu.syspro.parprog.counters.benches.CountersBenchmark.get2","thrpt",2,7,8674.366795,3996.509843,"ops/ms",Split_2
"org.nsu.syspro.parprog.counters.benches.CountersBenchmark.get2","thrpt",2,7,4945.957199,1433.841554,"ops/ms",Split_4
"org.nsu.syspro.parprog.counters.benches.CountersBenchmark.get2","thrpt",2,7,4069.904132,2815.863594,"ops/ms",Split_10
"org.nsu.syspro.parprog.counters.benches.CountersBenchmark.get2","thrpt",2,7,3018.604079,703.360224,"ops/ms",Split_20
"org.nsu.syspro.parprog.counters.benches.CountersBenchmark.get2","thrpt",2,7,12.286734,0.715846,"ops/ms",Split_10000
"org.nsu.syspro.parprog.counters.benches.CountersBenchmark.get4","thrpt",4,7,2514155.504594,12967.561568,"ops/ms",Unsafe
"org.nsu.syspro.parprog.counters.benches.CountersBenchmark.get4","thrpt",4,7,35026.958719,401.366022,"ops/ms",Unfair
"org.nsu.syspro.parprog.counters.benches.CountersBenchmark.get4","thrpt",4,7,396.315431,91.646940,"ops/ms",Fair
"org.nsu.syspro.parprog.counters.benches.CountersBenchmark.get4","thrpt",4,7,33055.931571,707.563161,"ops/ms",Split_1
"org.nsu.syspro.parprog.counters.benches.CountersBenchmark.get4","thrpt",4,7,17043.461478,445.196524,"ops/ms",Split_2
"org.nsu.syspro.parprog.counters.benches.CountersBenchmark.get4","thrpt",4,7,8589.651676,502.399504,"ops/ms",Split_4
"org.nsu.syspro.parprog.counters.benches.CountersBenchmark.get4","thrpt",4,7,3399.623801,425.151877,"ops/ms",Split_10
"org.nsu.syspro.parprog.counters.benches.CountersBenchmark.get4","thrpt",4,7,1885.940246,250.985857,"ops/ms",Split_20
"org.nsu.syspro.parprog.counters.benches.CountersBenchmark.get4","thrpt",4,7,25.076605,0.148917,"ops/ms",Split_10000
"org.nsu.syspro.parprog.counters.benches.CountersBenchmark.getMax","thrpt",20,7,5885871.660278,222192.522979,"ops/ms",Unsafe
"org.nsu.syspro.parprog.counters.benches.CountersBenchmark.getMax","thrpt",20,7,17476.995028,636.743959,"ops/ms",Unfair
"org.nsu.syspro.parprog.counters.benches.CountersBenchmark.getMax","thrpt",20,7,202.979274,54.322906,"ops/ms",Fair
"org.nsu.syspro.parprog.counters.benches.CountersBenchmark.getMax","thrpt",20,7,17177.402087,3565.724207,"ops/ms",Split_1
"org.nsu.syspro.parprog.counters.benches.CountersBenchmark.getMax","thrpt",20,7,7848.702839,570.901356,"ops/ms",Split_2
"org.nsu.syspro.parprog.counters.benches.CountersBenchmark.getMax","thrpt",20,7,4043.578844,312.470590,"ops/ms",Split_4
"org.nsu.syspro.parprog.counters.benches.CountersBenchmark.getMax","thrpt",20,7,1128.739191,426.956232,"ops/ms",Split_10
"org.nsu.syspro.parprog.counters.benches.CountersBenchmark.getMax","thrpt",20,7,1142.321943,1451.435473,"ops/ms",Split_20
"org.nsu.syspro.parprog.counters.benches.CountersBenchmark.getMax","thrpt",20,7,28.892677,4.289364,"ops/ms",Split_10000
"org.nsu.syspro.parprog.counters.benches.CountersBenchmark.getMaxMax","thrpt",40,7,5262868.939380,1161437.017896,"ops/ms",Unsafe
"org.nsu.syspro.parprog.counters.benches.CountersBenchmark.getMaxMax","thrpt",40,7,18841.617859,763.533256,"ops/ms",Unfair
"org.nsu.syspro.parprog.counters.benches.CountersBenchmark.getMaxMax","thrpt",40,7,183.358598,12.541143,"ops/ms",Fair
"org.nsu.syspro.parprog.counters.benches.CountersBenchmark.getMaxMax","thrpt",40,7,16520.411939,614.271764,"ops/ms",Split_1
"org.nsu.syspro.parprog.counters.benches.CountersBenchmark.getMaxMax","thrpt",40,7,8363.803293,104.275876,"ops/ms",Split_2
"org.nsu.syspro.parprog.counters.benches.CountersBenchmark.getMaxMax","thrpt",40,7,3597.097076,158.525893,"ops/ms",Split_4
"org.nsu.syspro.parprog.counters.benches.CountersBenchmark.getMaxMax","thrpt",40,7,767.420032,506.087313,"ops/ms",Split_10
"org.nsu.syspro.parprog.counters.benches.CountersBenchmark.getMaxMax","thrpt",40,7,603.937671,381.229970,"ops/ms",Split_20
"org.nsu.syspro.parprog.counters.benches.CountersBenchmark.getMaxMax","thrpt",40,7,41.966010,9.008419,"ops/ms",Split_10000
"org.nsu.syspro.parprog.counters.benches.CountersBenchmark.inc1","thrpt",1,7,1684854.970158,3035.152469,"ops/ms",Unsafe
"org.nsu.syspro.parprog.counters.benches.CountersBenchmark.inc1","thrpt",1,7,65905.577359,278.765025,"ops/ms",Unfair
"org.nsu.syspro.parprog.counters.benches.CountersBenchmark.inc1","thrpt",1,7,66067.517133,619.110671,"ops/ms",Fair
"org.nsu.syspro.parprog.counters.benches.CountersBenchmark.inc1","thrpt",1,7,64069.924864,34.496742,"ops/ms",Split_1
"org.nsu.syspro.parprog.counters.benches.CountersBenchmark.inc1","thrpt",1,7,64094.592923,58.950486,"ops/ms",Split_2
"org.nsu.syspro.parprog.counters.benches.CountersBenchmark.inc1","thrpt",1,7,64113.440935,29.660769,"ops/ms",Split_4
"org.nsu.syspro.parprog.counters.benches.CountersBenchmark.inc1","thrpt",1,7,63931.921201,436.004069,"ops/ms",Split_10
"org.nsu.syspro.parprog.counters.benches.CountersBenchmark.inc1","thrpt",1,7,64129.679061,25.338517,"ops/ms",Split_20
